Batch: 1, Accuracy: 0.3713
Batch: 2, Accuracy: 0.3713
Batch: 3, Accuracy: 0.3713
Batch: 4, Accuracy: 0.3713
Batch: 5, Accuracy: 0.3713
Batch: 6, Accuracy: 0.3713
Batch: 7, Accuracy: 0.3713
Batch: 8, Accuracy: 0.3713
Batch: 9, Accuracy: 0.3713
Batch: 10, Accuracy: 0.3713
Batch: 11, Accuracy: 0.3713
Batch: 12, Accuracy: 0.3713
Batch: 13, Accuracy: 0.3713
Batch: 14, Accuracy: 0.3713
Batch: 15, Accuracy: 0.3713
Batch: 16, Accuracy: 0.3713
Batch: 17, Accuracy: 0.371
Batch: 18, Accuracy: 0.3712
Batch: 19, Accuracy: 0.3714
Batch: 20, Accuracy: 0.371
Batch: 21, Accuracy: 0.371
Batch: 22, Accuracy: 0.3706
Batch: 23, Accuracy: 0.3704
Batch: 24, Accuracy: 0.3712
Batch: 25, Accuracy: 0.371
