Epoch_index = 1600, train accuracy = 0.25, val accuracy = 0.271424
Epoch_index = 3200, train accuracy = 0.40625, val accuracy = 0.266535
Epoch_index = 4800, train accuracy = 0.34375, val accuracy = 0.230022
Epoch_index = 6400, train accuracy = 0.40625, val accuracy = 0.272645
Epoch_index = 8000, train accuracy = 0.375, val accuracy = 0.278575
Epoch_index = 9600, train accuracy = 0.34375, val accuracy = 0.272279
Epoch_index = 11200, train accuracy = 0.4375, val accuracy = 0.285168
Epoch_index = 12800, train accuracy = 0.40625, val accuracy = 0.272734
Epoch_index = 14400, train accuracy = 0.34375, val accuracy = 0.303406
Epoch_index = 16000, train accuracy = 0.5, val accuracy = 0.304766
Epoch_index = 17600, train accuracy = 0.3125, val accuracy = 0.313203
Epoch_index = 19200, train accuracy = 0.4375, val accuracy = 0.282233
Epoch_index = 20800, train accuracy = 0.46875, val accuracy = 0.321077
Epoch_index = 22400, train accuracy = 0.5, val accuracy = 0.325702
Epoch_index = 24000, train accuracy = 0.5625, val accuracy = 0.321959
Epoch_index = 25600, train accuracy = 0.375, val accuracy = 0.325934
Epoch_index = 27200, train accuracy = 0.21875, val accuracy = 0.347134
Epoch_index = 28800, train accuracy = 0.4375, val accuracy = 0.345467
Epoch_index = 30400, train accuracy = 0.53125, val accuracy = 0.344645
Epoch_index = 32000, train accuracy = 0.46875, val accuracy = 0.323988
Epoch_index = 33600, train accuracy = 0.40625, val accuracy = 0.312608
Epoch_index = 35200, train accuracy = 0.40625, val accuracy = 0.346665
Epoch_index = 36800, train accuracy = 0.4375, val accuracy = 0.352306
Epoch_index = 38400, train accuracy = 0.40625, val accuracy = 0.352265
Epoch_index = 40000, train accuracy = 0.4375, val accuracy = 0.31825
